Precio,Terreno,Construido,Año_Construccion,densidad_barrio,colegio_15m,jardin_15m,trabajo_15m,es_depto
1384,69,69,1972,160.458825,0,1,0,TRUE
2006,45,45,1996,105.824215,1,1,0,TRUE
1685,47,47,2010,1295.27435,1,1,0,TRUE
1242,25,25,2005,202.476754,0,1,0,TRUE
1592,34,34,2010,728.850812,1,1,1,TRUE
1292,29,29,2010,1367.785897,0,1,0,TRUE
1900,114,65,2012,84.665589,0,0,0,FALSE
1268,37,37,2001,568.833169,0,1,0,TRUE
7500,133,133,1997,132.559166,0,1,1,TRUE
1155,33,33,1984,325.559,1,1,1,TRUE
1456,160,84,1973,152.622374,0,1,0,FALSE
1353,31,31,2012,1447.680019,0,1,0,TRUE
8199,138,138,2012,125.945678,1,1,0,TRUE
4675,126,126,2010,76.115133,0,1,0,TRUE
4393,120,127,1950,37.788579,1,1,0,FALSE
3552,134,134,2007,73.795354,0,0,0,TRUE
23000,1248,436,2006,18.080327,1,0,0,FALSE
2626,74,74,2007,177.453809,0,1,0,TRUE
2048,1000,86,1966,39.598834,0,1,0,FALSE
1208,100,50,2009,335.781956,0,1,0,FALSE
1627,234,128,1998,83.317013,0,1,0,FALSE
2600,98,98,1997,49.377143,0,1,0,TRUE
2390,180,107,1994,185.767216,0,1,0,FALSE
1420,31,31,2011,470.529026,0,1,0,TRUE
3239,111,111,1953,253.672359,0,1,1,TRUE
4608,362,210,1970,66.534953,0,1,0,FALSE
4510,86,86,1996,496.269771,1,1,0,TRUE
7350,139,139,2009,89.220838,0,1,0,TRUE
2258,212,101,2003,180.771089,0,1,0,FALSE
2562,34,34,2012,110.828298,0,1,0,TRUE
4126,190,172,1913,59.733184,0,1,0,FALSE
1950,41,41,2006,286.598724,0,1,0,TRUE
1792,101,101,1958,179.85652,0,1,0,TRUE
2346,55,55,2009,377.208114,1,1,0,TRUE
1194,32,32,2010,1171.490137,0,1,0,TRUE
2210,75,75,2009,207.848065,0,1,1,TRUE
10100,163,163,2007,87.07741,1,0,0,TRUE
3834,133,133,1996,95.598055,1,1,0,TRUE
1207,82,82,1960,220.486583,1,1,0,TRUE
1478,155,54,1986,188.955226,1,1,0,FALSE
1129,30,30,2010,971.444535,0,1,0,TRUE
1582,171,76,2002,134.766272,0,1,0,FALSE
3359,58,58,2006,324.786785,0,1,0,TRUE
4628,325,140,2002,34.592071,0,1,0,FALSE
3418,243,107,1994,127.76091,0,1,0,FALSE
1719,136,54,2006,178.660877,0,1,0,FALSE
1677,55,55,1993,148.284049,0,1,0,TRUE
1461,61,61,2009,165.01014,0,1,0,TRUE
1482,132,98,1998,208.548238,0,1,0,FALSE
2147,51,51,2011,365.683484,1,1,1,TRUE
14100,190,190,1999,119.808023,0,1,0,TRUE
1018,87,87,1973,35.166814,1,1,0,TRUE
3354,82,82,2012,230.985594,1,1,0,TRUE
3195,348,139,2002,45.304943,0,1,0,FALSE
2321,208,60,1998,110.567871,0,1,0,FALSE
4210,47,47,2009,343.000045,1,1,0,TRUE
2472,48,48,2010,296.588508,0,1,0,TRUE
1871,50,50,2009,994.813116,0,1,0,TRUE
2995,81,81,2008,328.358612,1,1,0,TRUE
1008,162,122,1999,230.314917,0,1,0,FALSE
1635,41,41,2010,1367.785897,0,1,0,TRUE
3862,82,82,2012,37.845414,1,1,0,TRUE
5043,124,124,1992,186.426832,1,1,1,TRUE
12698,138,138,2011,2.737282,0,0,0,TRUE
2000,69,69,1972,1063.457617,0,1,0,TRUE
3529,97,97,1990,343.622173,1,1,0,TRUE
1884,465,167,1967,108.290896,0,1,0,FALSE
2193,177,58,1993,161.815683,0,1,0,FALSE
3326,86,86,1990,479.71077,1,1,0,TRUE
1054,104,67,1998,297.570651,0,1,0,FALSE
4254,84,84,2008,179.85652,0,1,0,TRUE
1610,44,44,2011,87.748601,0,1,0,TRUE
3778,83,83,2009,190.765893,1,1,0,TRUE
4194,76,76,2004,31.764999,0,1,0,TRUE
1216,34,34,2009,764.531927,0,1,1,TRUE
3618,114,114,1997,71.021937,1,1,0,TRUE
2260,216,75,1981,112.132695,0,1,0,FALSE
2013,33,33,1998,430.301519,0,1,0,TRUE
1094,220,87,1975,153.239352,0,1,0,FALSE
5195,90,90,2013,61.598005,0,1,0,TRUE
2320,54,54,1967,147.214682,0,1,0,TRUE
1477,55,55,2009,585.924369,0,1,0,TRUE
1183,30,30,2004,1579.791549,0,1,0,TRUE
1023,69,69,1998,223.415732,0,1,0,TRUE
1891,129,82,2010,19.660898,0,0,0,FALSE
4400,89,89,1993,479.71077,1,1,0,TRUE
4863,427,90,1910,31.15753,0,1,0,FALSE
2150,144,86,2010,33.969678,0,0,0,FALSE
2955,69,69,1976,205.307865,1,1,0,TRUE
1518,46,46,2009,385.175603,0,1,0,TRUE
1950,50,50,2011,35.533442,0,1,1,TRUE
1205,124,62,2002,282.962518,0,1,0,FALSE
1529,80,70,1962,128.859229,0,1,0,FALSE
11769,179,179,1999,47.176373,1,1,0,TRUE
5224,145,145,1985,193.511425,1,1,0,TRUE
2480,50,50,2009,247.729186,0,1,0,TRUE
4617,243,189,2000,81.247909,0,1,0,FALSE
6073,122,122,2007,126.725204,1,1,0,TRUE
1931,56,56,1992,147.023607,0,1,0,TRUE
1747,55,55,2011,402.826797,0,1,0,TRUE
2345,70,70,1978,803.051315,0,1,0,TRUE
1792,41,41,2012,44.434988,0,1,0,TRUE
2933,77,77,2008,647.4848,0,1,0,TRUE
1664,220,88,1949,110.838825,0,1,0,FALSE
1773,76,76,1959,130.558242,0,1,0,TRUE
1466,51,51,2007,262.903716,0,1,0,TRUE
1551,168,62,2000,169.802839,0,1,0,FALSE
2485,69,69,2010,590.04208,0,1,1,TRUE
3650,70,70,2013,47.449029,1,1,0,TRUE
3900,68,68,2003,294.21252,0,1,0,TRUE
7233,575,138,1969,75.052996,0,1,0,FALSE
3545,312,169,1999,86.366995,0,1,0,FALSE
4000,64,64,2010,209.204195,1,1,0,TRUE
2458,74,74,2009,585.860268,0,1,0,TRUE
2589,56,56,2012,23.638223,1,1,0,TRUE
1440,50,50,2008,341.551724,0,1,0,TRUE
1184,130,91,1995,332.820151,1,1,0,FALSE
1615,57,57,2004,1579.791549,0,1,0,TRUE
1244,39,39,2012,23.741065,0,1,0,TRUE
1241,185,56,2008,142.377433,0,1,0,FALSE
1491,54,54,2008,449.342324,0,1,0,TRUE
3248,72,72,1998,226.171467,0,1,0,TRUE
1219,230,60,1971,67.701461,0,1,0,FALSE
1547,160,46,1962,164.402243,0,1,0,FALSE
3300,102,102,2001,178.711726,1,1,0,TRUE
7955,137,137,2009,161.724145,1,1,0,TRUE
1666,153,95,1998,177.742111,0,1,0,FALSE
4406,115,115,1996,925.299342,0,1,1,TRUE
1936,684,30,1925,124.250243,0,1,0,FALSE
1308,40,40,2009,1166.744671,1,1,0,TRUE
3809,110,110,1998,294.758274,1,1,0,TRUE
1500,29,29,2012,44.434988,0,1,0,TRUE
1511,73,73,2004,1324.511322,0,1,0,TRUE
1328,62,62,1972,576.187871,0,1,0,TRUE
34658,172,115,1962,102.039287,0,1,0,FALSE
1168,160,62,2000,167.889546,0,1,0,FALSE
1178,177,45,1994,169.904166,0,1,0,FALSE
1433,45,45,2009,203.264572,0,1,0,TRUE
4774,93,93,2002,822.502143,0,1,0,TRUE
1235,31,31,2005,202.476754,0,1,0,TRUE
4550,633,140,2007,3.918788,0,1,0,FALSE
1713,165,57,1989,145.603984,0,1,0,FALSE
4144,250,146,1972,66.149627,0,1,1,FALSE
2073,492,480,2010,71.643163,0,1,0,FALSE
5482,80,80,2012,292.471121,1,1,0,TRUE
1215,504,113,1999,146.100802,0,1,0,FALSE
3283,70,70,1993,221.644984,0,1,0,TRUE
5202,130,130,2009,76.115133,0,1,0,TRUE
1239,179,98,2003,51.592598,0,1,0,FALSE
1670,65,65,2007,85.112076,0,1,0,TRUE
1420,45,45,2004,184.89062,1,1,0,TRUE
6360,140,140,1994,337.007592,1,1,1,TRUE
2182,44,44,2010,306.733721,1,1,0,TRUE
1031,80,48,1994,368.663373,0,1,0,FALSE
2162,60,60,2009,225.219971,0,1,0,TRUE
1925,158,77,2009,92.987867,0,1,0,FALSE
4153,75,75,2011,160.03958,1,1,0,TRUE
7800,140,140,2012,113.869833,0,1,0,TRUE
3200,303,108,2002,102.537086,0,1,0,FALSE
2825,221,111,1996,130.751333,0,1,0,FALSE
1142,38,38,2010,163.419096,0,1,1,TRUE
2055,67,67,2007,457.598079,0,1,0,TRUE
7944,90,90,1994,224.713905,1,1,0,TRUE
1172,28,28,2010,1367.785897,0,1,0,TRUE
3828,81,81,2007,79.889967,0,1,0,TRUE
1194,365,85,1982,59.985975,0,1,0,FALSE
2680,70,70,1982,504.884111,0,1,0,TRUE
3369,79,79,2011,519.038399,0,1,0,TRUE
2099,207,85,2005,235.274737,0,1,0,FALSE
4351,69,69,2012,27.729697,0,1,1,TRUE
1293,128,65,1998,220.175728,0,1,0,FALSE
2052,35,35,2008,135.979618,0,1,0,TRUE
3482,83,83,1999,475.432833,0,1,0,TRUE
1219,32,32,2012,61.345712,1,1,1,TRUE
1905,250,106,1998,142.205397,0,1,0,FALSE
7281,207,149,2003,110.806979,1,1,0,FALSE
1300,68,68,2011,108.970759,0,1,0,TRUE
1309,146,123,1930,131.360149,0,1,0,FALSE
1700,244,76,1985,84.931469,0,1,0,FALSE
1200,105,90,1950,51.499604,0,1,0,FALSE
8090,108,108,1997,156.848492,0,1,0,TRUE
3759,82,82,2009,190.773498,1,1,0,TRUE
1549,52,52,2005,225.820373,0,1,0,TRUE
1289,143,42,1984,203.876482,0,1,0,FALSE
4401,61,61,2012,114.23818,1,1,1,TRUE
2230,56,56,2009,480.888334,0,1,0,TRUE
7612,498,261,1923,76.665445,0,1,0,FALSE
4200,100,100,2001,122.807958,1,1,0,TRUE
1734,52,52,2009,764.531927,0,1,1,TRUE
1590,54,54,2008,823.894844,0,1,0,TRUE
2587,69,69,2009,199.488298,0,1,0,TRUE
1648,107,78,2008,46.763408,0,0,0,FALSE
1918,59,59,2002,406.130994,0,1,0,TRUE
1429,177,58,1993,160.789289,0,1,0,FALSE
1212,56,56,2009,288.065532,0,1,0,TRUE
5445,100,100,2004,311.41382,0,1,0,TRUE
1760,53,53,2008,723.951219,1,1,1,TRUE
2416,135,107,2010,134.773752,0,1,0,FALSE
1621,400,102,1997,87.413471,0,1,0,FALSE
18455,437,437,2003,28.822817,1,1,0,TRUE
1479,60,60,2008,197.264973,0,1,0,TRUE
1911,217,75,1998,108.258113,0,1,0,FALSE
5288,114,114,2008,209.920468,1,1,0,TRUE
1348,82,82,1960,220.486583,1,1,0,TRUE
2780,73,73,1981,179.370795,1,1,1,TRUE
1770,52,52,2008,1023.133139,0,1,1,TRUE
1678,29,29,2012,44.434988,0,1,0,TRUE
2938,52,52,2000,695.665925,0,1,1,TRUE
1473,67,67,2005,64.02935,0,1,0,TRUE
6285,278,130,2000,83.264835,0,1,0,FALSE
5202,117,117,1978,70.313898,1,1,1,TRUE
2368,42,42,1992,170.231629,0,1,0,TRUE
1172,71,38,1986,142.540306,0,1,0,FALSE
2500,162,94,2002,85.873388,0,1,0,FALSE
1053,53,53,1968,170.039912,0,1,0,TRUE
2308,68,68,2011,402.826797,0,1,0,TRUE
6300,102,102,2010,538.680227,0,1,0,TRUE
4671,595,140,2007,28.536521,0,1,0,FALSE
1210,111,62,2001,304.827676,0,1,0,FALSE
2630,66,66,2009,183.842917,0,1,0,TRUE
2850,184,130,1998,151.861336,0,1,0,FALSE
1382,158,94,2003,143.444847,0,1,0,FALSE
1377,39,39,2012,23.741065,0,1,0,TRUE
5636,262,122,2002,82.958295,0,0,0,FALSE
1858,141,71,2010,8.285758,0,0,0,FALSE
4245,75,75,2002,348.931645,0,1,0,TRUE
2964,200,108,1993,135.339997,0,1,0,FALSE
1439,1861,131,2003,6.868932,0,0,0,FALSE
1010,44,44,2011,59.776448,0,1,0,TRUE
4213,190,134,1990,118.100322,0,1,0,FALSE
4009,75,75,1955,280.858256,1,1,1,TRUE
1455,55,55,2009,232.508179,0,1,0,TRUE
1098,32,32,2009,1324.511322,0,1,0,TRUE
6989,128,128,2001,488.197951,0,1,0,TRUE
1057,29,29,2010,1295.27435,1,1,0,TRUE
1742,123,100,1940,73.786976,0,1,0,FALSE
1104,32,32,2010,728.850812,1,1,1,TRUE
21600,277,277,2009,1.523755,0,0,0,TRUE
1035,60,60,1957,366.806109,1,1,1,TRUE
