Precio,Terreno,Construido,Año_Construccion,densidad_barrio,colegio_15m,jardin_15m,trabajo_15m
1162,126,57,2000,401.478676,0,0,0
3546,166,71,1962,61.588934,1,1,0
1886,140,85,2009,43.612511,0,1,0
1360,171,163,1959,149.208457,0,1,0
1312,144,69,1979,54.708304,0,1,0
1162,180,73,1992,140.224851,0,1,0
1407,120,83,2007,218.617798,0,1,0
2475,203,99,1966,60.384793,0,1,0
1254,81,56,2009,358.634567,0,0,0
3095,480,158,1978,65.4518,0,1,0
2993,300,95,1980,49.377143,0,1,0
1300,110,41,1988,252.712948,0,1,0
2647,269,121,2000,92.83726,0,1,0
1641,97,64,2001,278.912986,0,0,0
1836,500,80,1965,57.296567,0,1,0
1456,209,61,1967,154.389371,0,1,0
1831,219,45,1967,89.684393,0,1,0
2342,145,97,2012,69.312377,0,1,0
20000,379,302,1999,40.550471,0,1,0
1987,149,82,2010,143.490517,0,1,0
5807,400,140,1996,66.67449,0,1,0
2123,275,148,2001,88.884771,0,1,0
1200,176,50,2009,33.969678,0,0,0
1151,182,78,1987,53.605565,0,1,0
2492,123,93,2012,173.314005,0,1,0
1906,137,81,2004,254.741856,0,1,0
1290,138,50,2008,60.717612,0,1,0
1850,105,57,2011,62.430708,0,0,0
1276,166,78,2006,237.921968,0,0,0
1108,128,51,2004,220.961229,0,1,0
5720,424,82,1964,57.298981,1,1,0
1414,163,65,1998,250.125687,0,1,0
3200,330,62,1974,94.665042,0,1,0
1138,162,37,1973,166.49965,0,1,0
1207,166,94,2003,143.444847,0,1,0
3266,348,172,1962,38.929448,0,1,0
3670,224,154,1982,95.980977,1,1,0
4822,294,110,1954,146.119145,0,1,0
1390,325,96,1998,77.962624,0,1,0
4066,253,62,1978,105.325873,0,1,0
12253,306,70,1972,84.109117,1,1,0
3290,158,120,2009,176.430814,0,0,0
13500,1123,241,2001,23.251305,0,0,0
2627,240,94,1965,72.767347,0,1,1
4390,256,118,1957,405.641961,0,1,0
1566,136,69,2007,164.261487,0,1,0
1339,146,56,1990,166.102184,0,1,0
1337,720,113,1940,39.284426,0,1,0
3244,237,68,1982,153.002909,0,1,0
5334,600,239,1998,61.814936,0,1,0
4238,252,116,1988,92.710524,0,1,0
2000,149,89,2009,193.269114,0,1,0
4095,241,74,1979,63.227812,0,1,0
18342,514,287,2007,49.432536,1,1,0
1915,242,110,1979,101.93028,0,1,0
7719,405,168,1971,29.68799,0,1,0
5987,404,137,1960,115.786308,0,1,0
1409,97,79,1997,339.306101,0,1,0
1200,78,52,2000,270.238866,0,1,0
1905,200,68,1962,56.370499,0,1,0
11190,913,295,1999,33.881982,0,0,0
2000,123,87,2008,200.625772,0,1,0
2189,134,86,2008,165.850629,0,1,0
5424,405,139,1957,102.039287,0,1,0
4206,245,164,1985,109.271637,0,1,0
1223,128,61,1998,214.775587,0,1,0
1178,162,75,2006,222.746091,0,1,0
1390,101,90,1934,223.063993,0,1,0
2419,598,160,1966,65.038341,1,1,0
3048,330,51,1975,87.354019,0,1,0
4505,280,126,1955,105.19509,0,1,0
1699,126,48,2002,199.677902,0,1,0
4670,249,192,1979,99.130955,0,1,0
4740,276,140,2003,4.635395,0,0,0
1644,263,98,1999,95.854714,0,1,0
4571,262,124,1998,73.865027,0,1,0
1235,84,58,2008,298.864981,0,0,0
2131,167,77,1962,102.039287,0,1,0
1905,261,116,1972,161.877644,0,1,0
2343,132,109,2008,217.635961,0,1,0
1284,237,191,1964,49.900798,0,1,0
4285,234,130,2012,235.524863,0,1,0
1748,148,89,1980,61.202201,0,1,0
1875,203,82,1955,85.088327,0,1,0
3211,205,143,2008,111.122138,0,1,0
1527,104,78,2006,81.671164,0,0,0
4937,417,140,2011,34.592071,0,1,0
2149,264,70,1966,85.103397,0,1,0
1046,293,12,1950,76.176477,0,1,0
1099,162,54,1982,158.544949,0,1,0
2501,279,58,1979,88.098332,0,1,0
1200,143,45,2000,180.089104,0,1,0
2167,191,157,1945,194.92827,0,1,0
2003,126,54,1973,190.425493,0,1,0
1243,116,59,2010,158.208268,0,1,0
1768,113,50,1994,215.603226,0,1,0
4600,1365,126,1998,34.024273,0,1,0
6652,269,81,2005,85.424055,0,1,0
2341,571,113,1960,71.06985,0,1,0
1400,122,75,1998,139.47517,0,1,0
11757,159,128,1981,179.85652,0,1,0
1225,164,74,1957,177.453809,0,1,0
1700,118,70,2011,95.734177,0,1,0
3020,260,70,1968,72.399989,0,1,0
1459,124,67,1998,247.173409,0,1,0
1240,200,57,1994,123.924773,0,1,0
5392,595,160,1952,58.860257,0,1,0
3321,103,57,2011,62.430708,0,0,0
5420,531,131,1984,41.070985,0,1,0
7193,368,203,1998,48.623355,0,1,0
1750,350,120,1980,82.684136,0,1,0
1742,200,96,1998,136.712647,0,1,0
2615,300,104,1986,85.751684,0,1,0
2085,94,45,1994,316.261871,0,1,0
7652,373,120,1989,42.848226,0,1,0
3110,120,121,1952,78.68659,1,1,0
1500,190,134,1998,289.235639,0,1,0
2750,1134,72,2003,6.868932,0,0,0
3350,292,113,2007,105.131355,0,0,0
4186,323,87,1974,70.46737,1,1,0
1879,202,104,1987,123.770507,0,1,0
2560,125,104,2009,29.924992,0,0,0
1020,375,18,1972,109.021976,0,1,0
4429,1128,97,1998,13.526632,0,1,0
1200,110,112,2001,323.953189,0,1,0
2107,139,90,2008,196.951223,0,0,0
2345,133,86,2012,188.580898,0,1,0
1968,128,78,2011,95.734177,0,1,0
